"Table 1600. Number of earners in consumer unit: Annual expenditure means, shares, standard errors, and coefficient of variation, Consumer Expenditure Survey, 2013",,,,,,,
,,,,,,,
Item,"All
consumer
units",Single consumers,,Consumer units of two or more people,,,
Cash contributions,,,,,,,
Mean,"1,834","1,307","1,438","2,419","1,762","2,061","2,097"
Share,3.6,5.3,4.0,6.1,3.3,3.1,2.7
SE,97.10,176.97,103.31,341.64,142.48,162.90,166.98
CV(%),5.29,13.54,7.18,14.13,8.09,7.91,7.96
,,,,,,,
Personal insurance and pensions,,,,,,,
Mean,"5,528",210,"4,338",676,"4,859","9,022","10,935"
Share,10.8,.9,11.9,1.7,9.2,13.7,14.1
SE,115.61,52.62,130.29,179.70,171.35,184.11,542.83
CV(%),2.09,25.11,3.00,26.60,3.53,2.04,4.96
Life and other personal insurance,,,,,,,
Mean,319,174,145,299,300,442,516
Share,.6,.7,.4,.7,.6,.7,.7
SE,17.63,52.11,24.12,32.65,18.84,36.40,52.46
CV(%),5.53,30.00,16.60,10.92,6.27,8.24,10.16
Pensions and Social Security,,,,,,,
Mean,"5,209",36,"4,193",377,"4,559","8,580","10,419"
Share,10.2,.1,11.5,.9,8.7,13.0,13.4
SE,110.75,10.32,134.76,170.09,168.67,173.89,511.64
CV(%),2.13,28.82,3.21,45.17,3.70,2.03,4.91
,,,,,,,
Sources of income and personal taxes:,,,,,,,
,,,,,,,
Money income before taxes,,,,,,,
Mean,"$63,784","$18,467","$42,775","$33,241","$60,151","$94,313","$111,100"
SE,922.65,455.48,"1,181.15","1,423.83","1,654.96","1,740.11","3,321.42"
CV(%),1.45,2.47,2.76,4.28,2.75,1.85,2.99
Wages and salaries,,,,,,,
Mean,"50,168",29,"37,110",26,"45,653","84,660","99,981"
Share,78.7,.2,86.8,.1,75.9,89.8,90.0
SE,833.79,31.51,"1,079.05",31.03,"1,393.71","1,528.23","3,386.15"
CV(%),1.66,109.37,2.91,118.10,3.05,1.81,3.39
Self-employment income,,,,,,,
Mean,"3,273",10,"2,290",b/,"3,807","5,173","6,021"
Share,5.1,.1,5.4,b/,6.3,5.5,5.4
SE,262.05,19.00,381.83,b/,599.58,570.64,783.83
CV(%),8.01,181.14,16.68,b/,15.75,11.03,13.02
"Social Security, private and government retirement",,,,,,,
Mean,"7,514","15,048","1,947","26,538","7,318","2,637","2,620"
Share,11.8,81.5,4.6,79.8,12.2,2.8,2.4
SE,142.66,402.96,190.99,"1,043.41",330.79,177.51,309.16
CV(%),1.90,2.68,9.81,3.93,4.52,6.73,11.80
"Interest, dividends, rental income, other property income",,,,,,,
Mean,"1,411","1,447",724,"3,890","1,379","1,004","1,343"
Share,2.2,7.8,1.7,11.7,2.3,1.1,1.2
SE,137.50,192.87,115.70,"1,084.99",176.81,142.46,310.33
CV(%),9.75,13.33,15.98,27.89,12.82,14.19,23.11
"Public assistance, supplemental security income, food stamps",,,,,,,
Mean,534,784,57,"1,476",805,214,493
Share,.8,4.2,.1,4.4,1.3,.2,.4
SE,30.53,65.18,11.23,122.04,68.00,23.82,95.29
CV(%),5.72,8.31,19.57,8.27,8.45,11.11,19.31
"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support",,,,,,,
Mean,612,576,359,988,973,439,477
Share,1.0,3.1,.8,3.0,1.6,.5,.4
SE,49.43,94.02,81.37,127.75,157.91,52.15,72.80
CV(%),8.08,16.33,22.68,12.94,16.23,11.89,15.27
Other income,,,,,,,
Mean,272,572,288,324,216,186,166
Share,.4,3.1,.7,1.0,.4,.2,.1
SE,21.52,122.97,43.88,65.69,27.81,30.28,36.03
CV(%),7.91,21.48,15.22,20.30,12.89,16.26,21.74
,,,,,,,
Personal taxes (contains some imputed values),,,,,,,
Mean,"7,432",545,"6,334","1,472","5,240","12,948","12,655"
Share,11.7,3.0,14.8,4.4,8.7,13.7,11.4
SE,222.76,75.53,295.05,403.55,421.21,464.54,968.45
CV(%),3.00,13.86,4.66,27.41,8.04,3.59,7.65
Federal income taxes,,,,,,,
Mean,"5,743",456,"5,078","1,184","3,773","10,067","9,752"
Share,9.0,2.5,11.9,3.6,6.3,10.7,8.8
SE,186.85,51.92,270.32,321.51,337.47,393.31,824.91
CV(%),3.25,11.39,5.32,27.16,8.94,3.91,8.46
State and local income taxes,,,,,,,
Mean,"1,629",32,"1,233",232,"1,406","2,803","2,831"
Share,2.6,.2,2.9,.7,2.3,3.0,2.5
SE,56.60,17.79,56.71,83.52,94.00,103.31,163.12
CV(%),3.48,54.95,4.60,35.94,6.69,3.69,5.76
Other taxes,,,,,,,
Mean,60,57,24,56,61,78,72
Share,.1,.3,.1,.2,.1,.1,.1
SE,9.61,16.17,4.90,11.74,20.46,15.09,18.36
CV(%),16.05,28.50,20.63,20.91,33.36,19.26,25.59
,,,,,,,
Income after taxes,,,,,,,
Mean,"56,352","17,922","36,440","31,769","54,911","81,365","98,446"
Share,88.3,97.0,85.2,95.6,91.3,86.3,88.6
SE,742.16,425.82,922.35,"1,173.25","1,309.06","1,342.28","2,704.38"
CV(%),1.32,2.38,2.53,3.69,2.38,1.65,2.75
,,,,,,,
Addenda:,,,,,,,
,,,,,,,
Net change in total assets and liabilities,,,,,,,
Mean,"$11,404","$8,516","$10,042","$40,988","$7,510","$7,903","$5,241"
SE,"3,075.81","6,365.65","3,792.84","22,472.03","4,163.05","2,249.43","3,912.12"
CV(%),26.97,74.75,37.77,54.83,55.43,28.46,74.64
Net change in total assets,,,,,,,
Mean,"20,539","12,785","14,759","44,639","15,945","23,045","17,093"
SE,"3,016.24","6,229.74","3,291.80","22,445.74","4,359.61","1,671.21","3,753.30"
CV(%),14.69,48.73,22.30,50.28,27.34,7.25,21.96
Net change in total liabilities,,,,,,,
Mean,"9,136","4,269","4,717","3,650","8,435","15,142","11,852"
SE,646.35,"2,102.57",997.91,792.28,"1,535.16","1,521.59","2,228.13"
CV(%),7.07,49.25,21.16,21.71,18.20,10.05,18.80
,,,,,,,
Other financial information:,,,,,,,
Other money receipts,,,,,,,
Mean,737,679,431,874,553,721,"1,835"
SE,156.07,203.09,113.26,475.28,251.78,203.73,"1,279.49"
CV(%),21.19,29.90,26.26,54.40,45.56,28.25,69.72
Mortgage principal paid on owned property,,,,,,,
Mean,"-1,858",-461,"-1,314",-963,"-1,779","-2,754","-3,125"
SE,48.92,58.24,142.51,63.69,73.67,84.14,181.49
CV(%),-2.63,-12.63,-10.85,-6.61,-4.14,-3.06,-5.81
Estimated market value of owned home,,,,,,,
Mean,"154,907","101,612","81,530","176,119","162,156","188,865","219,943"
SE,"2,674.03","4,291.16","3,288.22","7,679.71","5,962.03","6,122.90","8,603.60"
CV(%),1.73,4.22,4.03,4.36,3.68,3.24,3.91
Estimated monthly rental value of owned home,,,,,,,
Mean,882,642,542,941,908,"1,052","1,194"
SE,9.70,19.36,20.04,27.88,23.67,19.36,30.85
CV(%),1.10,3.01,3.70,2.96,2.61,1.84,2.58
,,,,,,,
"Gifts of goods and services, total",,,,,,,
Mean,"1,078",707,919,813,"1,106","1,271","1,521"
SE,61.08,140.35,75.92,111.23,117.15,111.60,276.22
CV(%),5.67,19.85,8.26,13.68,10.59,8.78,18.16
Food,,,,,,,
Mean,78,30,65,62,79,91,155
SE,5.73,8.75,17.99,15.37,14.03,9.72,37.76
CV(%),7.31,29.00,27.76,24.79,17.68,10.67,24.31
Alcoholic beverages,,,,,,,
Mean,12,7,14,17,9,13,16
SE,2.19,4.67,5.56,9.83,3.67,2.91,5.12
CV(%),17.97,66.16,39.38,58.46,40.13,22.09,32.22
Housing,,,,,,,
Mean,201,135,156,164,231,236,236
SE,12.12,31.10,19.22,30.31,35.84,20.56,36.49
CV(%),6.02,23.07,12.34,18.45,15.50,8.71,15.45
Housekeeping supplies,,,,,,,
Mean,26,11,25,16,27,34,23
SE,2.63,2.08,4.00,3.75,6.37,5.15,5.58
CV(%),10.33,18.58,16.27,23.17,23.17,15.22,24.50
Household textiles,,,,,,,
Mean,5,5,6,4,3,5,2
SE,.87,1.99,2.92,2.46,1.79,1.60,.80
CV(%),19.17,36.83,50.02,61.06,53.20,31.89,41.86
Appliances and miscellaneous housewares,,,,,,,
Mean,19,13,17,13,20,20,38
SE,2.69,4.65,3.64,4.95,4.47,4.20,24.25
CV(%),14.09,36.03,22.02,37.15,22.08,21.51,63.14
Major appliances,,,,,,,
Mean,5,6,7,7,5,3,8
SE,1.10,3.52,2.77,3.51,1.93,1.10,6.63
CV(%),20.42,58.07,39.33,52.60,39.46,31.95,85.22
Small appliances and miscellaneous housewares,,,,,,,
Mean,14,7,10,7,15,16,31
SE,2.28,2.99,1.81,3.31,4.12,4.04,23.44
CV(%),16.62,43.74,19.06,49.79,26.85,25.03,76.55
Miscellaneous household equipment,,,,,,,
Mean,41,22,38,20,46,52,37
SE,3.80,5.02,10.50,5.99,8.37,8.42,13.02
CV(%),9.39,22.62,27.51,29.80,18.22,16.04,34.79
Other housing,,,,,,,
Mean,112,83,71,111,134,125,136
SE,11.68,29.09,13.49,28.20,34.70,20.91,25.40
CV(%),10.46,34.99,19.10,25.49,25.85,16.71,18.72
Apparel and services,,,,,,,
Mean,198,146,241,153,193,220,178
SE,11.66,46.60,29.99,40.21,27.22,25.08,39.31
CV(%),5.88,31.91,12.43,26.25,14.11,11.38,22.13
"Males, 2 and over",,,,,,,
Mean,51,31,83,38,47,46,67
SE,5.44,9.06,18.80,6.17,11.67,10.15,25.10
CV(%),10.65,29.17,22.62,16.33,24.64,21.97,37.74
"Females, 2 and over",,,,,,,
Mean,76,86,79,61,69,87,48
SE,8.62,41.37,11.96,17.63,19.29,15.17,11.08
CV(%),11.33,48.31,15.22,28.68,28.00,17.45,23.05
Children under 2,,,,,,,
Mean,30,7,22,28,40,35,30
SE,3.48,2.58,7.71,21.36,7.19,5.98,12.38
CV(%),11.77,36.38,34.95,75.60,17.96,17.12,40.66
Other apparel products and services,,,,,,,
Mean,42,22,57,26,37,52,33
SE,4.39,6.11,10.88,9.28,7.91,12.57,9.19
CV(%),10.51,27.47,18.95,36.12,21.56,24.06,28.19
Jewelry and watches,,,,,,,
Mean,14,9,20,7,10,18,9
SE,2.80,2.66,6.39,3.69,3.71,7.68,2.84
CV(%),20.17,30.07,31.29,49.72,38.09,41.55,31.52
All other apparel products and services,,,,,,,
Mean,28,13,37,18,27,34,24
SE,3.20,5.42,8.77,8.52,6.76,8.24,8.70
CV(%),11.45,40.51,23.70,46.62,25.08,24.42,36.84
Transportation,,,,,,,
Mean,100,105,67,131,91,86,194
SE,14.64,50.17,14.40,53.04,33.26,10.58,102.05
CV(%),14.70,47.68,21.37,40.62,36.60,12.25,52.70
Healthcare,,,,,,,
Mean,35,107,24,-6,41,26,14
SE,12.78,93.12,7.84,8.00,15.47,6.91,5.02
CV(%),36.59,87.19,32.37,-134.89,38.10,26.75,35.44
Entertainment,,,,,,,
Mean,89,48,100,45,79,128,57
SE,7.65,18.64,18.48,10.14,12.05,17.45,12.51
CV(%),8.60,38.45,18.49,22.78,15.26,13.65,21.90
"Toys, games, arts and crafts, and tricycles",,,,,,,
Mean,27,8,8,14,26,53,16
SE,4.01,4.30,1.73,5.10,4.98,11.07,6.86
CV(%),14.68,57.29,22.11,35.86,19.42,20.87,43.19
Other entertainment,,,,,,,
Mean,62,41,92,30,53,75,41
SE,6.44,17.44,18.24,7.98,11.64,13.33,9.62
CV(%),10.45,42.55,19.80,26.31,21.85,17.82,23.34
Personal care products and services,,,,,,,
Mean,14,6,12,5,15,21,10
SE,2.28,3.74,4.75,2.06,4.30,5.22,5.17
CV(%),16.29,64.19,39.60,42.34,28.22,24.68,50.68
Reading,,,,,,,
Mean,5,3,6,5,6,3,4
SE,.55,1.14,1.59,2.77,1.25,.49,1.15
CV(%),12.14,38.39,24.82,53.73,19.96,16.73,31.98
Education,,,,,,,
Mean,274,76,165,143,276,377,582
SE,40.98,36.36,41.91,57.33,66.51,78.52,191.22
CV(%),14.96,47.70,25.33,40.23,24.06,20.83,32.84
All other gifts,,,,,,,
Mean,72,43,68,95,85,69,75
SE,6.91,8.37,9.54,26.93,20.03,12.50,18.14
CV(%),9.61,19.33,14.02,28.24,23.58,18.17,24.28
,,,,,,,
a Value is too small to display.,,,,,,,
b No data reported.,,,,,,,
n.a. Not applicable.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Source: Consumer Expenditure Survey, U.S. Bureau of Labor Statistics, September, 2014",,,,,,,
